Nc3 c5 d4 cxd4 Qxd4 Nc6 Qh4 Nf6 Nf3 d5 
Nc3 d5 d4 Nf6 Bg5 Bf5 f3 c6 Bxf6 gxf6 
Nc3 e5 Nf3 Nc6 d4 exd4 Nxd4 Nf6 Bg5 Bb4 
Nf3 Nc6 c4 e5 Nc3 Nf6 g3 Be7 Bg2 O-O 
Nf3 Nc6 d4 d5 Bf4 Bg4 Nbd2 e6 e3 Bd6 
Nf3 Nc6 d4 d5 Bf4 Bg4 e3 e6 c4 Bb4+ 
Nf3 Nc6 d4 d5 c4 e6 Nc3 Nf6 Bg5 Be7 
Nf3 Nf6 b3 d6 g3 e5 c4 e4 Nh4 d5 
Nf3 Nf6 b3 g6 Bb2 Bg7 c4 c5 e3 O-O 
Nf3 Nf6 b3 g6 Bb2 Bg7 g3 d6 Bg2 e5 
Nf3 Nf6 c4 b6 Nc3 Bb7 d4 e6 a3 Be7 
Nf3 Nf6 c4 b6 d4 Bb7 g3 e6 Bg2 Be7 
Nf3 Nf6 c4 b6 d4 e6 a3 Ba6 e3 d5 
Nf3 Nf6 c4 b6 d4 e6 g3 Ba6 Nbd2 Bb4 
Nf3 Nf6 c4 b6 d4 e6 g3 Ba6 Qb3 Nc6 
Nf3 Nf6 c4 b6 d4 e6 g3 Ba6 b3 Bb4+ 
Nf3 Nf6 c4 b6 g3 Bb7 Bg2 c5 O-O g6 
Nf3 Nf6 c4 b6 g3 Bb7 Bg2 e5 Nc3 Bb4 
Nf3 Nf6 c4 b6 g3 Bb7 Bg2 e6 O-O Be7 
Nf3 Nf6 c4 b6 g3 Bb7 d4 e6 Bg2 Be7 
Nf3 Nf6 c4 b6 g3 c5 Bg2 Bb7 O-O e6 
Nf3 Nf6 c4 b6 g3 c5 Bg2 Bb7 O-O g6 
Nf3 Nf6 c4 c5 Nc3 Nc6 d4 cxd4 Nxd4 e6 
Nf3 Nf6 c4 c5 Nc3 Nc6 e3 e5 Be2 d5 
Nf3 Nf6 c4 c5 Nc3 Nc6 e3 e6 d4 d5 
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 d5 d4 cxd4 
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 g6 Bg2 Bg7 
Nf3 Nf6 c4 c5 Nc3 Nc6 g3 g6 d4 cxd4 
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 d4 Nxc3 
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e3 Nxc3 
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 e4 Nc7 
Nf3 Nf6 c4 c5 Nc3 d5 cxd5 Nxd5 g3 Nc6 
Nf3 Nf6 c4 c5 Nc3 e6 g3 b6 Bg2 Bb7 
Nf3 Nf6 c4 c5 Nc3 g6 e4 d6 d4 cxd4 
Nf3 Nf6 c4 c5 d4 Nc6 d5 Nb8 Nc3 d6 
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 Nc6 Nc3 g6 
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 a3 Ne4 
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 g3 Bb4+ 
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 g3 Qa5+ 
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 g3 Qb6 
Nf3 Nf6 c4 c5 d4 cxd4 Nxd4 e6 g3 d5 
Nf3 Nf6 c4 c5 g3 Nc6 Bg2 d5 O-O g6 
Nf3 Nf6 c4 c5 g3 Nc6 Nc3 d5 d4 e6 
Nf3 Nf6 c4 c5 g3 b6 Bg2 Bb7 O-O e6 
Nf3 Nf6 c4 c5 g3 b6 Bg2 Bb7 O-O g6 
Nf3 Nf6 c4 c5 g3 d5 cxd5 Nxd5 Bg2 Nc6 
Nf3 Nf6 c4 c5 g3 d5 d4 dxc4 Qa4+ Bd7 
Nf3 Nf6 c4 c6 Nc3 d5 d4 dxc4 a4 Bf5 
Nf3 Nf6 c4 c6 Nc3 d5 d4 e6 Bg5 Nbd7 
Nf3 Nf6 c4 c6 Nc3 d5 d4 e6 e3 Nbd7 
Nf3 Nf6 c4 c6 Nc3 d5 e3 a6 Qc2 b5 
Nf3 Nf6 c4 c6 d4 d5 cxd5 cxd5 Nc3 Nc6 
Nf3 Nf6 c4 c6 d4 d5 e3 Bf5 Nc3 e6 
Nf3 Nf6 c4 d5 Nc3 e6 d4 dxc4 Bg5 Bb4 
Nf3 Nf6 c4 e6 Nc3 Bb4 Qb3 a5 g3 Nc6 
Nf3 Nf6 c4 e6 Nc3 Bb4 Qb3 c5 g3 Nc6 
Nf3 Nf6 c4 e6 Nc3 Bb4 Qc2 O-O a3 Bxc3 
Nf3 Nf6 c4 e6 Nc3 Bb4 Qc2 c5 a3 Ba5 
